ticket_id,epic,title,description,priority,phase,owner_role,dependencies,acceptance_criteria,tests_required,estimate_points,status,files_area
FND-001,Foundation,Bootstrap repository tooling,"Add root tooling, environment template, external PostgreSQL setup notes and validation commands.",P0,0,Platform,,Clean checkout validates fixtures and documents how to load an externally managed PostgreSQL database.,CI smoke; clean-checkout manual,3,todo,root/.github
FND-002,Foundation,Scaffold Django project,"Create Django/DRF settings split, ASGI, URLs, health endpoint and pytest configuration.",P0,0,Platform,FND-001,`/api/v1/health` returns version/dependency status; tests and lint run.,unit; API contract; settings secret check,5,todo,backend
FND-003,Foundation,Scaffold React application,"Create Vite React TypeScript strict app, Router, TanStack Query, test and Playwright setup.",P0,0,Platform,FND-001,"App boots, routes render, API client config is environment-driven, strict typecheck passes.",unit; typecheck; E2E smoke,5,todo,frontend
FND-004,Foundation,Generate API types,Generate or reuse TypeScript types from OpenAPI/JSON schemas.,P0,0,Platform,FND-003,AnswerReceipt and request types are not manually duplicated; CI detects drift.,contract/type test,3,todo,frontend/contracts
FND-005,Foundation,Structured logging baseline,Add trace/request IDs and JSON logging with redaction.,P0,0,Platform,FND-002,Logs include IDs/stage timings but exclude source rows/prompts/secrets.,unit redaction; integration trace,3,todo,backend/telemetry
FND-006,Foundation,Problem-details exception handler,Map domain/API errors to application/problem+json.,P0,0,Platform,FND-002,"Validation, not-found, conflict, timeout and internal errors return safe shape and trace ID.",API contract; no-leak test,3,todo,backend/api
FND-007,Foundation,CI quality gates,Add backend lint/type/test and frontend type/unit/E2E jobs after scaffolds exist.,P0,0,Platform,FND-002;FND-003,PR checks run deterministically and cache safely.,CI dry run,3,todo,.github
FND-008,Foundation,Dependency and secret scanning,Add dependency audit and secret scan appropriate for public repo.,P0,0,Platform,FND-007,No known committed secret; scan documented and green or findings triaged.,CI scan,2,todo,.github
FND-009,Foundation,Environment capability flags,Implement demo/local/evaluation feature flags without exposing secrets to Vite.,P0,0,Platform,FND-002;FND-003,Evaluation routes/UI are disabled outside configured demo mode.,unit/config E2E,2,todo,backend/frontend
FND-010,Foundation,Seed version metadata,Expose git/app/dataset/semantic/prompt versions through metadata.,P0,0,Platform,FND-002,Meta response contains reproducibility versions and data_as_of.,API contract,2,todo,backend/meta
DAT-001,Data & Database,Verify deterministic generator,"Review generator, manifest and byte stability.",P0,0-1,Data/Backend,,Two consecutive generations produce valid identical fixture files.,fixture validation; hash comparison,3,todo,data/database/backend
DAT-002,Data & Database,Create Django fixture migrations/models,Model finance/application tables without changing declared SQL semantics.,P0,0-1,Data/Backend,FND-002,Django can introspect/use finance tables and migrate conversations/audit/idempotency.,migration; schema integration,5,todo,data/database/backend
DAT-003,Data & Database,Load fixture command,Wrap PostgreSQL loader as documented CLI/management command.,P0,0-1,Data/Backend,DAT-002,All expected row counts load transactionally and rerun safely.,integration; rollback failure,3,todo,data/database/backend
DAT-004,Data & Database,Install views and indexes,Apply analytical views/indexes idempotently.,P0,0-1,Data/Backend,DAT-003,"Views compile, indexes exist, smoke queries return expected shape.",DB integration,3,todo,data/database/backend
DAT-005,Data & Database,Read-only finance connection,Configure least-privilege finance query access.,P0,0-1,Data/Backend,DAT-003,Application query role cannot mutate finance tables.,permission integration,3,todo,data/database/backend
DAT-006,Data & Database,Dataset metadata repository,"Read dataset version, currency, timezone, fiscal start and data_as_of.",P0,0-1,Data/Backend,DAT-003,Metadata is cached safely and relative dates use it.,unit/integration,2,todo,data/database/backend
DAT-007,Data & Database,Source row canonical serializers,"Define safe source-record views/serializers for transactions, payouts and reconciliation.",P0,0-1,Data/Backend,DAT-004,Fields and money/date types match dictionary; no raw HTML.,contract/integration,3,todo,data/database/backend
DAT-008,Data & Database,Data health base checks,"Implement row counts, max dates, missing links, nulls and integrity checks.",P0,0-1,Data/Backend,DAT-004,Results reproduce planted edge cases and explain impact.,gold integration,5,todo,data/database/backend
DAT-009,Data & Database,Disposable scale-data generator,Extend/remap foreign keys for representative payout/reconciliation scale testing.,P0,0-1,Data/Backend,DAT-004,Configurable scaled dataset loads without violating constraints.,large-fixture smoke,5,todo,data/database/backend
DAT-010,Data & Database,Dataset documentation parity,Automate/check data dictionary against CSV/schema fields.,P0,0-1,Data/Backend,DAT-001,No undocumented or missing field; manifest updated.,repository validation,3,todo,data/database/backend
SEM-001,Semantics & Contracts,Semantic registry loader,Load and validate semantic_metrics.yaml into typed registry.,P0,0-1,Product/Backend,FND-002,"Invalid metric config fails startup; valid definitions expose aliases, filters and dimensions.",unit/schema,3,todo,contracts/backend/frontend
SEM-002,Semantics & Contracts,Money domain type,"Implement Decimal-only parsing, operations and INR formatting.",P0,0-1,Product/Backend,FND-002,No float accepted; exact two-decimal behavior and Indian display formatting tested.,unit/property,3,todo,contracts/backend/frontend
SEM-003,Semantics & Contracts,Date resolver,Resolve explicit/relative/calendar/fiscal ranges with half-open semantics.,P0,0-1,Product/Backend,SEM-001;DAT-006,All benchmark ranges exact; recent/Q2 ambiguity preserved.,unit/property/gold,5,todo,contracts/backend/frontend
SEM-004,Semantics & Contracts,Vendor resolver,Normalize aliases and return exact match or bounded candidates.,P0,0-1,Product/Backend,DAT-003;SEM-001,AWS resolves; Acme/ABC clarify; fuzzy never auto-selects ambiguous candidate.,unit/integration,5,todo,contracts/backend/frontend
SEM-005,Semantics & Contracts,Account/category resolver,Resolve account code/name/category only to allowed semantic fields.,P0,0-1,Product/Backend,SEM-001;DAT-003,Software and other declared categories map consistently.,unit/integration,3,todo,contracts/backend/frontend
SEM-006,Semantics & Contracts,QueryPlan Pydantic model,Implement canonical schema and semantic validators.,P0,0-1,Product/Backend,SEM-001;SEM-002;SEM-003,Unknown fields/enums/dimensions invalid; canonical hash stable.,schema/property,5,todo,contracts/backend/frontend
SEM-007,Semantics & Contracts,QueryState Pydantic model,Implement typed versioned conversation state and operations.,P0,0-1,Product/Backend,SEM-006,SET/REPLACE/ADD/REMOVE/CLEAR/RESET are deterministic.,unit/property,5,todo,contracts/backend/frontend
SEM-008,Semantics & Contracts,ComputedFacts and receipt models,Implement contracts and no-number status invariants.,P0,0-1,Product/Backend,SEM-006,"Clarification, not-answerable, and error receipts cannot carry a financial value; decimal strings preserved.",schema/unit,5,todo,contracts/backend/frontend
SEM-009,Semantics & Contracts,Contract drift check,Validate Python/TypeScript/OpenAPI/schema examples in CI.,P0,0-1,Product/Backend,FND-004;SEM-006;SEM-008,Contract change without regenerated consumers fails CI.,contract CI,3,todo,contracts/backend/frontend
QRY-001,Deterministic Query Engine,Named compiler registry,Map supported intent/metric/dimensions to named compiler functions.,P0,1,Backend,SEM-006;DAT-004,Unsupported plan cannot reach DB; no arbitrary table/field selection.,unit/security,5,todo,backend/query/database
