vendor_id,company_id,display_name,legal_name,vendor_category,default_account_code,payment_terms_days,currency,country,state,tax_id,risk_rating,is_active,active_from,active_to,synthetic_data_notice
V0001,CMP-NL-001,Acme Cloud Services,Acme Cloud Services Private Limited,Cloud infrastructure,5000,0,INR,India,Karnataka,GSTIN-SYN-V0001,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0002,CMP-NL-001,Acme Office Supplies,Acme Office Supplies LLP,Office supplies,6010,30,INR,India,Karnataka,GSTIN-SYN-V0002,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0003,CMP-NL-001,AWS,Amazon Web Services India Private Limited,Cloud infrastructure,5000,45,INR,India,Karnataka,GSTIN-SYN-V0003,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0004,CMP-NL-001,Google Cloud India,Google Cloud India Private Limited,Cloud infrastructure,5000,7,INR,India,Karnataka,GSTIN-SYN-V0004,Medium,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0005,CMP-NL-001,Microsoft Azure India,Microsoft Corporation India Private Limited,Cloud infrastructure,5000,7,INR,India,Karnataka,GSTIN-SYN-V0005,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0006,CMP-NL-001,OpenAI API,OpenAI India Services,Data and APIs,5010,15,INR,India,Karnataka,GSTIN-SYN-V0006,High,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0007,CMP-NL-001,Anthropic API,Anthropic Services India,Data and APIs,5010,15,INR,India,Karnataka,GSTIN-SYN-V0007,High,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0008,CMP-NL-001,Datadog,Datadog India Private Limited,Software,6000,30,INR,India,Karnataka,GSTIN-SYN-V0008,Medium,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0009,CMP-NL-001,GitHub,GitHub India Private Limited,Software,6000,15,INR,India,Karnataka,GSTIN-SYN-V0009,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0010,CMP-NL-001,Figma,Figma India Software Services,Software,6000,45,INR,India,Karnataka,GSTIN-SYN-V0010,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0011,CMP-NL-001,Notion,Notion Labs India Services,Software,6000,0,INR,India,Karnataka,GSTIN-SYN-V0011,High,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0012,CMP-NL-001,Slack,Salesforce Slack Technologies India,Software,6000,7,INR,India,Karnataka,GSTIN-SYN-V0012,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0013,CMP-NL-001,Zoom,Zoom Video Communications India,Software,6000,15,INR,India,Karnataka,GSTIN-SYN-V0013,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0014,CMP-NL-001,Atlassian,Atlassian India LLP,Software,6000,30,INR,India,Karnataka,GSTIN-SYN-V0014,High,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0015,CMP-NL-001,HubSpot,HubSpot India Private Limited,Software,6000,0,INR,India,Karnataka,GSTIN-SYN-V0015,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0016,CMP-NL-001,Salesforce,Salesforce.com India Private Limited,Software,6000,30,INR,India,Karnataka,GSTIN-SYN-V0016,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0017,CMP-NL-001,Freshworks,Freshworks Technologies Private Limited,Software,6000,0,INR,India,Karnataka,GSTIN-SYN-V0017,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0018,CMP-NL-001,Razorpay,Razorpay Software Private Limited,Payment processing,5020,45,INR,India,Karnataka,GSTIN-SYN-V0018,High,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0019,CMP-NL-001,Cashfree Payments,Cashfree Payments India Private Limited,Payment processing,5020,15,INR,India,Karnataka,GSTIN-SYN-V0019,Medium,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0020,CMP-NL-001,Stripe India,Stripe India Private Limited,Payment processing,5020,30,INR,India,Karnataka,GSTIN-SYN-V0020,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0021,CMP-NL-001,WeWork India,WeWork India Management Private Limited,Rent and coworking,6100,0,INR,India,Karnataka,GSTIN-SYN-V0021,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0022,CMP-NL-001,IndiQube,IndiQube Spaces Private Limited,Rent and coworking,6100,30,INR,India,Karnataka,GSTIN-SYN-V0022,Medium,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0023,CMP-NL-001,BESCOM,Bangalore Electricity Supply Company Limited,Utilities,6110,30,INR,India,Karnataka,GSTIN-SYN-V0023,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0024,CMP-NL-001,Airtel Business,Bharti Airtel Limited,Telecommunications,6120,15,INR,India,Karnataka,GSTIN-SYN-V0024,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0025,CMP-NL-001,Jio Business,Reliance Jio Infocomm Limited,Telecommunications,6120,30,INR,India,Karnataka,GSTIN-SYN-V0025,Medium,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0026,CMP-NL-001,Deloitte Consulting,Deloitte Touche Tohmatsu India LLP,Consulting,6020,45,INR,India,Karnataka,GSTIN-SYN-V0026,Medium,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0027,CMP-NL-001,KPMG Advisory,KPMG Assurance and Consulting Services LLP,Consulting,6020,7,INR,India,Karnataka,GSTIN-SYN-V0027,High,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0028,CMP-NL-001,DataForge Analytics,DataForge Analytics Private Limited,Consulting,6020,7,INR,India,Karnataka,GSTIN-SYN-V0028,Medium,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0029,CMP-NL-001,LexBridge Legal,LexBridge Legal Partners,Legal,6030,30,INR,India,Karnataka,GSTIN-SYN-V0029,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0030,CMP-NL-001,AuditSphere,AuditSphere & Co LLP,Accounting and audit,6040,0,INR,India,Karnataka,GSTIN-SYN-V0030,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0031,CMP-NL-001,TalentNest,TalentNest Recruitment Private Limited,Recruiting,6050,7,INR,India,Karnataka,GSTIN-SYN-V0031,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0032,CMP-NL-001,LinkedIn Talent,LinkedIn Technology Information Private Limited,Recruiting,6050,30,INR,India,Karnataka,GSTIN-SYN-V0032,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0033,CMP-NL-001,Coursera for Business,Coursera India Private Limited,Training,6060,45,INR,India,Karnataka,GSTIN-SYN-V0033,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0034,CMP-NL-001,Udemy Business,Udemy India LLP,Training,6060,15,INR,India,Karnataka,GSTIN-SYN-V0034,Medium,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0035,CMP-NL-001,GrowthMint Media,GrowthMint Media Private Limited,Marketing,6300,45,INR,India,Karnataka,GSTIN-SYN-V0035,Medium,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0036,CMP-NL-001,EventCraft,EventCraft Experiences Private Limited,Marketing,6300,0,INR,India,Karnataka,GSTIN-SYN-V0036,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0037,CMP-NL-001,Google Ads,Google India Private Limited,Marketing,6300,7,INR,India,Karnataka,GSTIN-SYN-V0037,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0038,CMP-NL-001,Meta Ads,Facebook India Online Services Private Limited,Marketing,6300,30,INR,India,Karnataka,GSTIN-SYN-V0038,High,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0039,CMP-NL-001,IndiGo,InterGlobe Aviation Limited,Travel,6200,30,INR,India,Multi-state,GSTIN-SYN-V0039,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0040,CMP-NL-001,Air India,Air India Limited,Travel,6200,45,INR,India,Multi-state,GSTIN-SYN-V0040,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0041,CMP-NL-001,MakeMyTrip,MakeMyTrip India Private Limited,Travel,6200,15,INR,India,Karnataka,GSTIN-SYN-V0041,Medium,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0042,CMP-NL-001,Uber India,Uber India Systems Private Limited,Local transportation,6220,7,INR,India,Karnataka,GSTIN-SYN-V0042,Medium,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0043,CMP-NL-001,Swiggy Corporate,Bundl Technologies Private Limited,Meals and entertainment,6210,0,INR,India,Karnataka,GSTIN-SYN-V0043,Medium,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0044,CMP-NL-001,ABC Consulting,ABC Consulting Services Private Limited,Consulting,6020,0,INR,India,Karnataka,GSTIN-SYN-V0044,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0045,CMP-NL-001,ABC Telecom,ABC Telecom Networks Limited,Telecommunications,6120,15,INR,India,Karnataka,GSTIN-SYN-V0045,Medium,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0046,CMP-NL-001,BlueDart,Blue Dart Express Limited,Logistics,6600,30,INR,India,Karnataka,GSTIN-SYN-V0046,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0047,CMP-NL-001,Delhivery,Delhivery Limited,Logistics,6600,7,INR,India,Karnataka,GSTIN-SYN-V0047,High,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0048,CMP-NL-001,HDFC ERGO,HDFC ERGO General Insurance Company Limited,Insurance,6400,45,INR,India,Multi-state,GSTIN-SYN-V0048,Medium,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0049,CMP-NL-001,ICICI Lombard,ICICI Lombard General Insurance Company Limited,Insurance,6400,45,INR,India,Multi-state,GSTIN-SYN-V0049,Medium,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0050,CMP-NL-001,HDFC Bank,HDFC Bank Limited,Banking,6500,45,INR,India,Karnataka,GSTIN-SYN-V0050,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0051,CMP-NL-001,RBL Bank,RBL Bank Limited,Banking,6500,7,INR,India,Karnataka,GSTIN-SYN-V0051,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0052,CMP-NL-001,Urban Company,Urban Company Technologies India Private Limited,Maintenance,6700,7,INR,India,Karnataka,GSTIN-SYN-V0052,Medium,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0053,CMP-NL-001,MCA Services,Ministry of Corporate Affairs,Taxes and licenses,6800,30,INR,India,Karnataka,GSTIN-SYN-V0053,High,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0054,CMP-NL-001,Amazon Business,Amazon Seller Services Private Limited,Office supplies,6010,0,INR,India,Karnataka,GSTIN-SYN-V0054,High,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0055,CMP-NL-001,Zoho,Zoho Corporation Private Limited,Software,6000,15,INR,India,Karnataka,GSTIN-SYN-V0055,Medium,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
V0056,CMP-NL-001,Canva,Canva India Private Limited,Software,6000,45,INR,India,Karnataka,GSTIN-SYN-V0056,Low,true,2024-04-01,,Fictitious vendor; not a real counterparty record.
