reconciliation_id,company_id,transaction_id,reconciliation_type,status,reconciled_amount,unreconciled_amount,currency,matched_record_count,bank_statement_reference,matched_on,reason_code,owner,notes,last_reviewed_at
REC-000001,CMP-NL-001,TXN-000038,bank_to_ledger,partially_reconciled,26341.46,27726.64,INR,1,BANK-20250401-000001,,amount_mismatch,Neha Rao,Synthetic reconciliation record.,2025-04-05T17:30:00+05:30
REC-000002,CMP-NL-001,TXN-000010,bank_to_ledger,reconciled,45226.06,0.00,INR,1,BANK-20250402-000002,2025-04-02,,Rohit Menon,Synthetic reconciliation record.,2025-04-14T17:30:00+05:30
REC-000003,CMP-NL-001,TXN-000013,card_to_receipt,unreconciled,0.00,21849.22,INR,0,,,missing_bank_match,Asha Nair,Synthetic reconciliation record.,2025-04-04T17:30:00+05:30
REC-000004,CMP-NL-001,TXN-000024,bank_to_ledger,reconciled,83004.93,0.00,INR,1,BANK-20250402-000004,2025-04-02,,Kabir Shah,Synthetic reconciliation record.,2025-04-04T17:30:00+05:30
REC-000005,CMP-NL-001,TXN-000006,card_to_receipt,reconciled,96521.27,0.00,INR,1,BANK-20250403-000005,2025-04-11,,Neha Rao,Synthetic reconciliation record.,2025-04-22T17:30:00+05:30
REC-000006,CMP-NL-001,TXN-000032,bank_to_ledger,reconciled,67059.03,0.00,INR,1,BANK-20250405-000006,2025-04-06,,Kabir Shah,Synthetic reconciliation record.,2025-04-19T17:30:00+05:30
REC-000007,CMP-NL-001,TXN-000026,bank_to_ledger,reconciled,85803.24,0.00,INR,1,BANK-20250406-000007,2025-04-17,,Kabir Shah,Synthetic reconciliation record.,2025-04-20T17:30:00+05:30
REC-000008,CMP-NL-001,TXN-000044,card_to_receipt,reconciled,30747.02,0.00,INR,1,BANK-20250407-000008,2025-04-11,,Kabir Shah,Synthetic reconciliation record.,2025-04-20T17:30:00+05:30
REC-000009,CMP-NL-001,TXN-000033,invoice_to_payout,reconciled,169205.22,0.00,INR,1,BANK-20250408-000009,2025-04-23,,Rohit Menon,Synthetic reconciliation record.,2025-04-24T17:30:00+05:30
REC-000010,CMP-NL-001,TXN-000016,invoice_to_payout,reconciled,122499.06,0.00,INR,1,BANK-20250410-000010,2025-04-22,,Kabir Shah,Synthetic reconciliation record.,2025-04-24T17:30:00+05:30
REC-000011,CMP-NL-001,TXN-000021,card_to_receipt,reconciled,140472.25,0.00,INR,1,BANK-20250410-000011,2025-04-16,,Neha Rao,Synthetic reconciliation record.,2025-04-28T17:30:00+05:30
REC-000012,CMP-NL-001,TXN-000042,bank_to_ledger,reconciled,830645.24,0.00,INR,1,BANK-20250410-000012,2025-04-14,,Neha Rao,Synthetic reconciliation record.,2025-04-22T17:30:00+05:30
REC-000013,CMP-NL-001,TXN-000007,bank_to_ledger,reconciled,63343.23,0.00,INR,1,BANK-20250411-000013,2025-04-25,,Kabir Shah,Synthetic reconciliation record.,2025-04-17T17:30:00+05:30
REC-000014,CMP-NL-001,TXN-000019,invoice_to_payout,partially_reconciled,47288.95,66875.44,INR,1,BANK-20250411-000014,,amount_mismatch,Rohit Menon,Synthetic reconciliation record.,2025-04-23T17:30:00+05:30
REC-000015,CMP-NL-001,TXN-000023,invoice_to_payout,reconciled,54571.70,0.00,INR,1,BANK-20250411-000015,2025-04-20,,Kabir Shah,Synthetic reconciliation record.,2025-04-21T17:30:00+05:30
REC-000016,CMP-NL-001,TXN-000051,invoice_to_payout,reconciled,41736.39,0.00,INR,1,BANK-20250411-000016,2025-04-14,,Kabir Shah,Synthetic reconciliation record.,2025-04-25T17:30:00+05:30
REC-000017,CMP-NL-001,TXN-000050,invoice_to_payout,reconciled,21656.01,0.00,INR,1,BANK-20250413-000017,2025-04-17,,Rohit Menon,Synthetic reconciliation record.,2025-04-20T17:30:00+05:30
REC-000018,CMP-NL-001,TXN-000008,invoice_to_payout,unreconciled,0.00,85618.67,INR,0,,,timing_difference,Asha Nair,Synthetic reconciliation record.,2025-05-01T17:30:00+05:30
REC-000019,CMP-NL-001,TXN-000029,invoice_to_payout,reconciled,191484.81,0.00,INR,1,BANK-20250414-000019,2025-04-20,,Asha Nair,Synthetic reconciliation record.,2025-04-15T17:30:00+05:30
