payout_id,company_id,vendor_id,invoice_transaction_id,scheduled_date,payout_date,payout_status,gross_amount,fee_amount,net_cash_outflow,currency,payment_method,bank_reference,invoice_reference,failure_reason,source_system,created_at
PAY-000011,CMP-NL-001,V0011,TXN-000013,2025-04-02,2025-04-05,completed,21849.22,28.80,21878.02,INR,IMPS,UTR-250405-000011,INV-V0011-2504-1309,,AP Automation,2025-04-02T10:00:00+05:30
PAY-000022,CMP-NL-001,V0019,TXN-000024,2025-04-14,2025-04-05,completed,83004.93,118.38,83123.31,INR,IMPS,UTR-250405-000022,INV-V0019-2504-5523,,AP Automation,2025-04-02T10:00:00+05:30
PAY-000014,CMP-NL-001,V0014,TXN-000016,2025-05-09,2025-04-12,completed,122499.06,69.35,122568.41,INR,NEFT,UTR-250412-000014,INV-V0014-2504-8824,,AP Automation,2025-04-10T10:00:00+05:30
PAY-000030,CMP-NL-001,V0025,TXN-000032,2025-05-04,2025-04-13,completed,67059.03,76.18,67135.21,INR,UPI,UTR-250413-000030,INV-V0025-2504-6148,,AP Automation,2025-04-05T10:00:00+05:30
PAY-000005,CMP-NL-001,V0007,TXN-000006,2025-04-18,2025-04-15,completed,96521.27,108.19,96629.46,INR,ACH,UTR-250415-000005,INV-V0007-2504-5138,,AP Automation,2025-04-03T10:00:00+05:30
PAY-000024,CMP-NL-001,V0020,TXN-000026,2025-05-06,2025-04-15,completed,85803.24,105.01,85908.25,INR,ACH,UTR-250415-000024,INV-V0020-2504-1052,,AP Automation,2025-04-06T10:00:00+05:30
PAY-000006,CMP-NL-001,V0007,TXN-000007,2025-04-24,2025-04-18,completed,63343.23,77.79,63421.02,INR,IMPS,UTR-250418-000006,INV-V0007-2504-1419,,AP Automation,2025-04-11T10:00:00+05:30
PAY-000019,CMP-NL-001,V0017,TXN-000021,2025-04-10,2025-04-19,completed,140472.25,121.13,140593.38,INR,UPI,UTR-250419-000019,INV-V0017-2504-1749,,AP Automation,2025-04-10T10:00:00+05:30
PAY-000047,CMP-NL-001,V0047,TXN-000049,2025-04-22,2025-04-19,completed,55657.48,73.79,55731.27,INR,Corporate Card,UTR-250419-000047,INV-V0047-2504-6595,,AP Automation,2025-04-15T10:00:00+05:30
PAY-000048,CMP-NL-001,V0050,TXN-000050,2025-05-28,2025-04-20,completed,21656.01,19.64,21675.65,INR,ACH,UTR-250420-000048,INV-V0050-2504-1813,,AP Automation,2025-04-13T10:00:00+05:30
PAY-000007,CMP-NL-001,V0008,TXN-000008,2025-05-13,2025-04-22,completed,85618.67,122.42,85741.09,INR,RTGS,UTR-250422-000007,INV-V0008-2504-5305,,AP Automation,2025-04-14T10:00:00+05:30
PAY-000010,CMP-NL-001,V0010,TXN-000011,2025-06-01,2025-04-22,completed,34438.45,20.44,34458.89,INR,Corporate Card,UTR-250422-000010,INV-V0010-2504-7047,,AP Automation,2025-04-19T10:00:00+05:30
PAY-000025,CMP-NL-001,V0021,TXN-000027,2025-04-20,2025-04-23,completed,440799.99,413.88,441213.87,INR,IMPS,UTR-250423-000025,INV-V0021-2504-1068,,AP Automation,2025-04-20T10:00:00+05:30
PAY-000033,CMP-NL-001,V0027,TXN-000035,2025-04-18,2025-04-23,completed,623422.78,320.72,623743.50,INR,IMPS,UTR-250423-000033,INV-V0027-2504-9742,,AP Automation,2025-04-14T10:00:00+05:30
PAY-000036,CMP-NL-001,V0032,TXN-000038,2025-04-30,2025-04-23,completed,54068.10,30.73,54098.83,INR,NEFT,UTR-250423-000036,INV-V0032-2504-7873,,AP Automation,2025-04-01T10:00:00+05:30
PAY-000042,CMP-NL-001,V0042,TXN-000044,2025-04-13,2025-04-23,completed,30747.02,6.76,30753.78,INR,Corporate Card,UTR-250423-000042,INV-V0042-2504-8630,,AP Automation,2025-04-07T10:00:00+05:30
PAY-000049,CMP-NL-001,V0050,TXN-000051,2025-05-24,2025-04-24,completed,41736.39,28.92,41765.31,INR,ACH,UTR-250424-000049,INV-V0050-2504-6075,,AP Automation,2025-04-11T10:00:00+05:30
PAY-000020,CMP-NL-001,V0018,TXN-000022,2025-06-02,2025-04-25,reversed,44680.45,0.00,0.00,INR,IMPS,UTR-250425-000020,INV-V0018-2504-2810,,AP Automation,2025-04-18T10:00:00+05:30
PAY-000041,CMP-NL-001,V0039,TXN-000043,2025-05-18,2025-04-25,completed,126353.50,149.09,126502.59,INR,ACH,UTR-250425-000041,INV-V0039-2504-2672,,AP Automation,2025-04-18T10:00:00+05:30
PAY-000055,CMP-NL-001,V0056,TXN-000057,2025-05-30,2025-04-25,completed,19760.59,14.93,19775.52,INR,UPI,UTR-250425-000055,INV-V0056-2504-5116,,AP Automation,2025-04-16T10:00:00+05:30
PAY-000009,CMP-NL-001,V0010,TXN-000010,2025-05-16,2025-04-26,completed,45226.06,47.10,45273.16,INR,ACH,UTR-250426-000009,INV-V0010-2504-3452,,AP Automation,2025-04-02T10:00:00+05:30
PAY-000035,CMP-NL-001,V0029,TXN-000037,2025-05-18,2025-04-26,completed,217714.45,271.36,217985.81,INR,UPI,UTR-250426-000035,INV-V0029-2504-7806,,AP Automation,2025-04-21T10:00:00+05:30
PAY-000034,CMP-NL-001,V0028,TXN-000036,2025-04-28,2025-04-27,completed,236946.86,234.57,237181.43,INR,Corporate Card,UTR-250427-000034,INV-V0028-2504-2906,,AP Automation,2025-04-21T10:00:00+05:30
PAY-000040,CMP-NL-001,V0038,TXN-000042,2025-05-07,2025-04-27,completed,830645.24,686.24,831331.48,INR,IMPS,UTR-250427-000040,INV-V0038-2504-4347,,AP Automation,2025-04-10T10:00:00+05:30
PAY-000012,CMP-NL-001,V0012,TXN-000014,2025-04-27,2025-04-28,completed,92657.70,93.72,92751.42,INR,ACH,UTR-250428-000012,INV-V0012-2504-4234,,AP Automation,2025-04-20T10:00:00+05:30
PAY-000016,CMP-NL-001,V0016,TXN-000018,2025-05-20,2025-04-28,completed,226807.70,227.57,227035.27,INR,IMPS,UTR-250428-000016,INV-V0016-2504-1440,,AP Automation,2025-04-20T10:00:00+05:30
PAY-000021,CMP-NL-001,V0018,TXN-000023,2025-05-25,2025-04-29,completed,54571.70,51.92,54623.62,INR,NEFT,UTR-250429-000021,INV-V0018-2504-5043,,AP Automation,2025-04-11T10:00:00+05:30
PAY-000031,CMP-NL-001,V0026,TXN-000033,2025-05-20,2025-04-30,completed,169205.22,130.74,169335.96,INR,RTGS,UTR-250430-000031,INV-V0026-2504-2717,,AP Automation,2025-04-08T10:00:00+05:30
PAY-000001,CMP-NL-001,V0001,TXN-000001,2025-04-15,2025-05-01,completed,178413.82,119.82,178533.64,INR,ACH,UTR-250501-000001,INV-V0001-2504-1317,,AP Automation,2025-04-15T10:00:00+05:30
PAY-000043,CMP-NL-001,V0042,TXN-000045,2025-04-20,2025-05-01,completed,17600.27,24.98,17625.25,INR,IMPS,UTR-250501-000043,INV-V0042-2504-9068,,AP Automation,2025-04-15T10:00:00+05:30
PAY-000028,CMP-NL-001,V0023,TXN-000030,2025-05-30,2025-05-02,completed,96124.82,85.36,96210.18,INR,ACH,UTR-250502-000028,INV-V0023-2504-8676,,AP Automation,2025-04-30T10:00:00+05:30
PAY-000017,CMP-NL-001,V0016,TXN-000019,2025-05-09,2025-05-03,completed,114164.39,136.53,114300.92,INR,RTGS,UTR-250503-000017,INV-V0016-2504-9435,,AP Automation,2025-04-11T10:00:00+05:30
PAY-000027,CMP-NL-001,V0022,TXN-000029,2025-05-13,2025-05-03,completed,191484.81,141.14,191625.95,INR,Corporate Card,UTR-250503-000027,INV-V0022-2504-8155,,AP Automation,2025-04-14T10:00:00+05:30
PAY-000051,CMP-NL-001,V0052,TXN-000053,2025-04-23,2025-05-03,completed,21124.34,18.74,21143.08,INR,Corporate Card,UTR-250503-000051,INV-V0052-2504-7988,,AP Automation,2025-04-18T10:00:00+05:30
PAY-000052,CMP-NL-001,V0054,TXN-000054,2025-04-28,2025-05-03,completed,176063.13,204.64,176267.77,INR,UPI,UTR-250503-000052,INV-V0054-2504-1277,,AP Automation,2025-04-28T10:00:00+05:30
PAY-000003,CMP-NL-001,V0005,TXN-000004,2025-05-07,2025-05-04,completed,386166.58,574.13,386740.71,INR,Corporate Card,UTR-250504-000003,INV-V0005-2504-1298,,AP Automation,2025-04-30T10:00:00+05:30
PAY-000023,CMP-NL-001,V0019,TXN-000025,2025-05-03,2025-05-05,completed,66025.21,25.45,66050.66,INR,ACH,UTR-250505-000023,INV-V0019-2504-8152,,AP Automation,2025-04-18T10:00:00+05:30
PAY-000044,CMP-NL-001,V0043,TXN-000046,2025-04-28,2025-05-05,completed,94843.17,43.51,94886.68,INR,UPI,UTR-250505-000044,INV-V0043-2504-8620,,AP Automation,2025-04-28T10:00:00+05:30
PAY-000008,CMP-NL-001,V0009,TXN-000009,2025-05-16,2025-05-06,completed,120660.54,87.15,120747.69,INR,RTGS,UTR-250506-000008,INV-V0009-2504-4097,,AP Automation,2025-05-03T10:00:00+05:30
PAY-000087,CMP-NL-001,V0026,TXN-000091,2025-06-17,2025-05-06,completed,253752.49,124.87,253877.36,INR,RTGS,UTR-250506-000087,INV-V0026-2505-7069,,AP Automation,2025-05-05T10:00:00+05:30
PAY-000037,CMP-NL-001,V0032,TXN-000039,2025-05-30,2025-05-07,completed,52183.58,39.78,52223.36,INR,IMPS,UTR-250507-000037,INV-V0032-2504-3102,,AP Automation,2025-05-01T10:00:00+05:30
PAY-000038,CMP-NL-001,V0037,TXN-000040,2025-05-08,2025-05-07,completed,276242.86,89.99,276332.85,INR,Corporate Card,UTR-250507-000038,INV-V0037-2504-6079,,AP Automation,2025-05-02T10:00:00+05:30
PAY-000054,CMP-NL-001,V0056,TXN-000056,2025-06-13,2025-05-07,completed,16487.62,6.55,16494.17,INR,NEFT,UTR-250507-000054,INV-V0056-2504-8854,,AP Automation,2025-04-29T10:00:00+05:30
PAY-000013,CMP-NL-001,V0013,TXN-000015,2025-05-13,2025-05-08,completed,28274.95,42.01,28316.96,INR,Corporate Card,UTR-250508-000013,INV-V0013-2504-2039,,AP Automation,2025-04-29T10:00:00+05:30
PAY-000032,CMP-NL-001,V0026,TXN-000034,2025-05-31,2025-05-09,completed,414545.12,456.98,415002.10,INR,Corporate Card,UTR-250509-000032,INV-V0026-2504-2802,,AP Automation,2025-04-18T10:00:00+05:30
PAY-000045,CMP-NL-001,V0044,TXN-000047,2025-04-18,2025-05-09,completed,70915.18,23.62,70938.80,INR,IMPS,UTR-250509-000045,INV-V0044-2504-2798,,AP Automation,2025-04-18T10:00:00+05:30
PAY-000086,CMP-NL-001,V0026,TXN-000090,2025-06-13,2025-05-11,completed,334204.95,84.77,334289.72,INR,IMPS,UTR-250511-000086,INV-V0026-2505-1586,,AP Automation,2025-05-02T10:00:00+05:30
PAY-000095,CMP-NL-001,V0038,TXN-000100,2025-06-01,2025-05-11,completed,421480.40,532.79,422013.19,INR,NEFT,UTR-250511-000095,INV-V0038-2505-9008,,AP Automation,2025-05-04T10:00:00+05:30
PAY-000057,CMP-NL-001,V0001,TXN-000059,2025-05-11,2025-05-12,completed,224744.86,284.70,225029.56,INR,UPI,UTR-250512-000057,INV-V0001-2505-3655,,AP Automation,2025-05-11T10:00:00+05:30
PAY-000063,CMP-NL-001,V0008,TXN-000066,2025-06-02,2025-05-12,completed,199692.83,182.91,199875.74,INR,UPI,UTR-250512-000063,INV-V0008-2505-1107,,AP Automation,2025-05-03T10:00:00+05:30
PAY-000098,CMP-NL-001,V0042,TXN-000103,2025-05-11,2025-05-13,completed,8925.85,6.75,8932.60,INR,RTGS,UTR-250513-000098,INV-V0042-2505-7013,,AP Automation,2025-05-06T10:00:00+05:30
PAY-000029,CMP-NL-001,V0024,TXN-000031,2025-05-14,2025-05-14,completed,206519.80,46.97,206566.77,INR,RTGS,UTR-250514-000029,INV-V0024-2504-7002,,AP Automation,2025-05-01T10:00:00+05:30
PAY-000046,CMP-NL-001,V0044,TXN-000048,2025-04-29,2025-05-14,completed,139168.74,194.45,139363.19,INR,NEFT,UTR-250514-000046,INV-V0044-2504-7587,,AP Automation,2025-04-29T10:00:00+05:30
PAY-000083,CMP-NL-001,V0023,TXN-000087,2025-06-09,2025-05-16,completed,114641.20,27.45,114668.65,INR,IMPS,UTR-250516-000083,INV-V0023-2505-9641,,AP Automation,2025-05-13T10:00:00+05:30
PAY-000004,CMP-NL-001,V0006,TXN-000005,2025-05-12,2025-05-18,completed,470122.99,350.86,470473.85,INR,IMPS,UTR-250518-000004,INV-V0006-2504-7199,,AP Automation,2025-04-30T10:00:00+05:30
PAY-000039,CMP-NL-001,V0037,TXN-000041,2025-05-01,2025-05-19,completed,172742.33,129.45,172871.78,INR,UPI,UTR-250519-000039,INV-V0037-2504-6830,,AP Automation,2025-04-25T10:00:00+05:30
PAY-000015,CMP-NL-001,V0015,TXN-000017,2025-04-27,2025-05-20,completed,146808.77,207.66,147016.43,INR,IMPS,UTR-250520-000015,INV-V0015-2504-4006,,AP Automation,2025-04-27T10:00:00+05:30
PAY-000018,CMP-NL-001,V0017,TXN-000020,2025-04-26,2025-05-20,completed,66445.65,41.08,66486.73,INR,RTGS,UTR-250520-000018,INV-V0017-2504-4158,,AP Automation,2025-04-26T10:00:00+05:30
PAY-000026,CMP-NL-001,V0022,TXN-000028,2025-05-30,2025-05-20,completed,340247.85,480.73,340728.58,INR,NEFT,UTR-250520-000026,INV-V0022-2504-8935,,AP Automation,2025-05-01T10:00:00+05:30
PAY-000084,CMP-NL-001,V0024,TXN-000088,2025-05-21,2025-05-20,completed,79357.22,76.53,79433.75,INR,ACH,UTR-250520-000084,INV-V0024-2505-7278,,AP Automation,2025-05-06T10:00:00+05:30
PAY-000088,CMP-NL-001,V0028,TXN-000092,2025-05-11,2025-05-20,completed,187071.70,272.46,187344.16,INR,UPI,UTR-250520-000088,INV-V0028-2505-8167,,AP Automation,2025-05-07T10:00:00+05:30
PAY-000053,CMP-NL-001,V0055,TXN-000055,2025-05-13,2025-05-21,completed,109658.84,124.27,109783.11,INR,Corporate Card,UTR-250521-000053,INV-V0055-2504-4588,,AP Automation,2025-04-30T10:00:00+05:30
PAY-000002,CMP-NL-001,V0004,TXN-000003,2025-05-08,2025-05-22,completed,343287.49,130.28,343417.77,INR,RTGS,UTR-250522-000002,INV-V0004-2504-6871,,AP Automation,2025-05-01T10:00:00+05:30
PAY-000050,CMP-NL-001,V0051,TXN-000052,2025-05-05,2025-05-23,reversed,27698.68,0.00,0.00,INR,Corporate Card,UTR-250523-000050,INV-V0051-2504-4223,,AP Automation,2025-04-30T10:00:00+05:30
PAY-000081,CMP-NL-001,V0021,TXN-000085,2025-05-16,2025-05-23,completed,973996.88,1225.19,975222.07,INR,RTGS,UTR-250523-000081,INV-V0021-2505-7219,,AP Automation,2025-05-16T10:00:00+05:30
PAY-000096,CMP-NL-001,V0042,TXN-000101,2025-05-21,2025-05-23,completed,18471.12,8.81,18479.93,INR,ACH,UTR-250523-000096,INV-V0042-2505-2122,,AP Automation,2025-05-16T10:00:00+05:30
