account_code,account_name,account_type,parent_account_code,normal_balance,statement,is_active,description
1000,Cash and cash equivalents,Asset,,Debit,Balance Sheet,true,Operating bank and cash balances.
1100,Accounts receivable,Asset,1000,Debit,Balance Sheet,true,Trade receivables.
1200,Prepaid expenses,Asset,1000,Debit,Balance Sheet,true,Expenses paid before recognition.
2000,Accounts payable,Liability,,Credit,Balance Sheet,true,Trade payables.
2100,Accrued expenses,Liability,2000,Credit,Balance Sheet,true,Accrued operating expenses.
2200,Taxes payable,Liability,2000,Credit,Balance Sheet,true,Indirect and direct taxes payable.
3000,Share capital,Equity,,Credit,Balance Sheet,true,Issued equity.
4000,Subscription revenue,Revenue,,Credit,Income Statement,true,Recurring subscription revenue.
4100,Services revenue,Revenue,4000,Credit,Income Statement,true,Professional services revenue.
5000,Cloud hosting cost,COGS,,Debit,Income Statement,true,Infrastructure directly supporting the product.
5010,Data and API cost,COGS,5000,Debit,Income Statement,true,"Third-party model, data, and API usage."
5020,Payment processing fees,COGS,5000,Debit,Income Statement,true,Merchant and payout processing fees.
6000,Software subscriptions,Expense,,Debit,Income Statement,true,Internal SaaS and productivity tools.
6010,Office supplies,Expense,6000,Debit,Income Statement,true,Office consumables and equipment under capitalization threshold.
6020,Consulting and professional fees,Expense,6000,Debit,Income Statement,true,Professional advisers and contractors.
6030,Legal fees,Expense,6000,Debit,Income Statement,true,"Legal counsel, filings, and contract review."
6040,Audit and accounting fees,Expense,6000,Debit,Income Statement,true,"Audit, bookkeeping, and accounting services."
6050,Recruiting fees,Expense,6000,Debit,Income Statement,true,Recruitment agencies and job platforms.
6060,Training and education,Expense,6000,Debit,Income Statement,true,Employee training and learning.
6100,Rent and coworking,Expense,,Debit,Income Statement,true,"Office rent, coworking, and meeting rooms."
6110,Utilities,Expense,6100,Debit,Income Statement,true,"Power, water, and facilities services."
6120,Telecommunications,Expense,6100,Debit,Income Statement,true,"Internet, mobile, and communication services."
6200,Travel and lodging,Expense,,Debit,Income Statement,true,"Air, rail, hotel, and other business travel."
6210,Meals and entertainment,Expense,6200,Debit,Income Statement,true,Business meals and hosted events.
6220,Local transportation,Expense,6200,Debit,Income Statement,true,"Taxi, rideshare, and local transit."
6300,Advertising and marketing,Expense,,Debit,Income Statement,true,"Campaigns, events, content, and demand generation."
6310,Sales commissions,Expense,6300,Debit,Income Statement,true,Sales commissions and incentives.
6400,Insurance,Expense,,Debit,Income Statement,true,Corporate insurance policies.
6500,Bank charges,Expense,,Debit,Income Statement,true,Banking fees and wire charges.
6600,Logistics and courier,Expense,,Debit,Income Statement,true,"Courier, shipping, and logistics."
6700,Repairs and maintenance,Expense,,Debit,Income Statement,true,Facilities and equipment maintenance.
6800,Taxes and licenses,Expense,,Debit,Income Statement,true,"Licenses, government fees, and non-income taxes."
6900,Miscellaneous operating expense,Expense,,Debit,Income Statement,true,Low-frequency operating expense.
