transaction_id,account_id,transaction_date,transaction_type,description,transaction_amount,transaction_reference_id,utr_number
b4c872c7-f45c-5a3b-9b38-240f26324dfe,5cecd2c2-f075-4bbd-a08b-b156ca48dc7e,2025-12-01 00:13:28.105095,credit,RTGS - HDFC0001191 - CUSTOMER COLLECTION,628281.28,RT2512010001191,sG8D+5ZbzpeyX8/oDRo11iqrmqVk2sexXwt3RoY9bVawbwP7llvOlw==
c9a29b91-7659-5a79-82e5-c3a7f2954c5a,11772f92-4d95-5afb-9152-c2e461ae0e4a,2025-12-01 00:55:51.267471,debit,IMPS - SBIN0000392 - BAJAJ FINANCE COLLECTION,174232.33,IM2512010000392,
e9cd1b38-5541-5f28-bc42-941c2d772b67,6fce8c8a-c915-571c-b259-2cb24ae02c2a,2025-12-01 04:17:27.874812,credit,CHEQUE CREDIT - INTEREST CREDIT - INSTRUMENT 00001830,1245017.89,CH2512010001830,WSlUdcaIf85zFeiELIRgQ42/MEAAoVOcZlToFUMf/xVZKVR1xoh/zg==
8b6dfad1-fc9a-52bd-b22c-e947695ec6ad,4599b5b3-a025-5b0b-b7ae-9d385c9f0394,2025-12-01 04:53:35.227839,debit,FT - ICIC0000406 - AWS INDIA,158597.71,FT2512010000406,IAx7dy7jpvwapUyqj7mTTpAERInNKsbDvDCzk7QLb9IgDHt3LuOm/A==
2a6c1e26-ed91-5047-8fe7-749acdb90089,1e4e22ec-4538-52e3-a30c-b5c672183039,2025-12-01 10:17:00.734151,debit,FT - RATN0000223 - AIRTEL BUSINESS,13074.66,FT2512010000223,+FCIxmvwjkH1r1XRCcML+5IL+B0cNkIu8QBs3fx2gIn4UIjGa/COQQ==
327d9cc4-5bd7-5b26-866b-71f209c245f6,acfbe204-7541-492c-a352-040aa984bedc,2025-12-01 11:39:29.646996,credit,RTGS - HDFC0002378 - IMPS INWARD,491994.74,RT2512010002378,2HX5vGQelSvxPFWIzFxG9RrrpnnoyEF0ccpx4cP3VaHYdfm8ZB6VKw==
3e6e34a9-a822-524b-b3ba-2fd213f96e8a,ef9e989b-5089-570c-9611-7bb8e23c69a6,2025-12-01 19:40:04.827310,debit,IMPS - UBIN0000069 - MAKE MY TRIP,367874.40,IM2512010000069,jMk558aFTBoWJ96jSQbOPljYBqWi0RDYdW4jT4OzicqMyTnnxoVMGg==
d0b4ad1c-d0e3-5b1b-952e-29f817446364,c66af89a-b5ac-5b44-b510-04c6dd44efce,2025-12-01 20:42:40.837478,debit,IMPS - AUBL0001583 - AWS INDIA,251385.20,IM2512010001583,+xekMmVEw3syOAgYWwXgayzTFixnwqgZeqer+d7ANdb7F6QyZUTDew==
89542349-c0a0-5528-86f6-e9843483b227,342b88ca-0ab5-583f-896b-9692cd7b9978,2025-12-01 21:35:59.929791,debit,RTGS - SBIN0001699 - MAKE MY TRIP,67201.41,RT2512010001699,
e5d062c4-f167-5c72-a20f-904628349ddd,4599b5b3-a025-5b0b-b7ae-9d385c9f0394,2025-12-01 22:58:57.336986,debit,FT - ICIC0001018 - NAVYUG SELECTION,336202.08,FT2512010001018,
3f9e594f-e4c7-57e6-b8a6-0a4999f6370c,27d2dde9-0b51-5375-a39a-7d3324f48a92,2025-12-02 00:53:32.223071,debit,CHEQUE DEBIT - NEFT CHARGES - INSTRUMENT 00000510,1045.86,CH2512020000510,
10313309-5222-5589-8c80-5a6c93bf7811,cef50e75-3fed-5fdf-a79c-260ee521078e,2025-12-02 07:27:44.713386,debit,CHEQUE DEBIT - MICROSOFT AZURE INDIA - INSTRUMENT 00002211,221788.00,CH2512020002211,yB4xkSTFEWVbcm+N1LSQRZQSR9jfN1hIsX8MOH/n3JLIHjGRJMURZQ==
28bfb19c-1292-538e-bfcc-2bad97712bbb,5cecd2c2-f075-4bbd-a08b-b156ca48dc7e,2025-12-02 08:05:43.753630,debit,IMPS - HDFC0000504 - RELIANCE DIGITAL RETAIL LTD,84152.61,IM2512020000504,fX1e4tYhXSQQ67jtrM+34lzU6qWb5/8nR/B/HFsBAbh9fV7i1iFdJA==
a92715ad-b828-5d0b-99a5-cd0904e88d23,52955e57-3e68-5090-924b-05aafdf2ed3b,2025-12-02 13:44:07.336088,credit,RTGS - UTIB0002149 - NEFT INWARD,1089806.63,RT2512020002149,/Ac7CF90obeEygOsMAkZUESCDJu9j+YPpJHJQQSZnp38BzsIX3Shtw==
