alias_id,vendor_id,alias,normalized_alias,alias_type,is_ambiguous,ambiguous_group,notes
VA0001,V0001,Acme Cloud Services,acme cloud services,display_name,false,,
VA0002,V0001,Acme Cloud Services Private Limited,acme cloud services private limited,legal_name,false,,
VA0003,V0001,Acme,acme,common_alias,true,acme,Requires user clarification when used without a more specific token.
VA0004,V0001,Acme Cloud,acme cloud,common_alias,false,,
VA0005,V0002,Acme Office Supplies,acme office supplies,display_name,false,,
VA0006,V0002,Acme Office Supplies LLP,acme office supplies llp,legal_name,false,,
VA0007,V0002,Acme,acme,common_alias,true,acme,Requires user clarification when used without a more specific token.
VA0008,V0002,Acme Office,acme office,common_alias,false,,
VA0009,V0002,Acme Supplies,acme supplies,common_alias,false,,
VA0010,V0003,AWS,aws,display_name,false,,
VA0011,V0003,Amazon Web Services India Private Limited,amazon web services india private limited,legal_name,false,,
VA0012,V0003,Amazon Web Services,amazon web services,common_alias,false,,
VA0013,V0003,Amazon Web Services India,amazon web services india,common_alias,false,,
VA0014,V0003,AWS India,aws india,common_alias,false,,
VA0015,V0004,Google Cloud India,google cloud india,display_name,false,,
VA0016,V0004,Google Cloud India Private Limited,google cloud india private limited,legal_name,false,,
VA0017,V0004,GCP,gcp,common_alias,false,,
VA0018,V0004,Google Cloud,google cloud,common_alias,false,,
VA0019,V0005,Microsoft Azure India,microsoft azure india,display_name,false,,
VA0020,V0005,Microsoft Corporation India Private Limited,microsoft corporation india private limited,legal_name,false,,
VA0021,V0005,Azure,azure,common_alias,false,,
VA0022,V0005,Microsoft Azure,microsoft azure,common_alias,false,,
VA0023,V0005,MS Azure,ms azure,common_alias,false,,
VA0024,V0006,OpenAI API,openai api,display_name,false,,
VA0025,V0006,OpenAI India Services,openai india services,legal_name,false,,
VA0026,V0006,OpenAI,openai,common_alias,false,,
VA0027,V0006,Open AI,open ai,common_alias,false,,
VA0028,V0007,Anthropic API,anthropic api,display_name,false,,
VA0029,V0007,Anthropic Services India,anthropic services india,legal_name,false,,
VA0030,V0007,Anthropic,anthropic,common_alias,false,,
VA0031,V0007,Claude API,claude api,common_alias,false,,
VA0032,V0008,Datadog,datadog,display_name,false,,
VA0033,V0008,Datadog India Private Limited,datadog india private limited,legal_name,false,,
VA0034,V0008,Data Dog,data dog,common_alias,false,,
VA0035,V0009,GitHub,github,display_name,false,,
VA0036,V0009,GitHub India Private Limited,github india private limited,legal_name,false,,
VA0037,V0009,Github Inc,github inc,common_alias,false,,
VA0038,V0010,Figma,figma,display_name,false,,
VA0039,V0010,Figma India Software Services,figma india software services,legal_name,false,,
VA0040,V0011,Notion,notion,display_name,false,,
VA0041,V0011,Notion Labs India Services,notion labs india services,legal_name,false,,
VA0042,V0011,Notion Labs,notion labs,common_alias,false,,
VA0043,V0012,Slack,slack,display_name,false,,
VA0044,V0012,Salesforce Slack Technologies India,salesforce slack technologies india,legal_name,false,,
VA0045,V0012,Slack Technologies,slack technologies,common_alias,false,,
VA0046,V0013,Zoom,zoom,display_name,false,,
VA0047,V0013,Zoom Video Communications India,zoom video communications india,legal_name,false,,
VA0048,V0013,Zoom Video,zoom video,common_alias,false,,
VA0049,V0014,Atlassian,atlassian,display_name,false,,
VA0050,V0014,Atlassian India LLP,atlassian india llp,legal_name,false,,
VA0051,V0014,Jira,jira,common_alias,false,,
VA0052,V0014,Confluence,confluence,common_alias,false,,
